attendance,assignment_score,quiz_score,study_time,lms_activity,previous_grade,missed_submissions,target
83.9,65.2,76.7,9.8,50.3,62.5,3,0
88.8,58.6,74.8,4.8,45.7,69.6,0,0
44.0,56.8,46.8,6.8,36.8,44.8,3,1
70.9,69.4,39.4,4.6,57.2,48.7,2,1
64.2,62.2,54.2,10.6,54.7,50.1,2,0
53.0,72.2,29.7,2.7,58.9,77.1,2,1
72.9,62.0,38.4,4.2,45.8,81.9,2,1
43.3,74.5,58.1,4.3,67.2,81.5,3,1
59.9,61.8,71.0,8.4,45.4,63.2,0,0
53.5,84.3,89.4,5.8,75.1,71.4,1,0
81.5,98.8,64.4,9.9,5.0,78.3,2,0
69.6,69.8,29.2,5.5,62.1,88.2,1,0
60.4,58.0,81.5,6.8,44.4,73.7,2,0
92.4,54.0,59.1,5.0,25.7,70.4,2,0
75.1,63.3,39.5,4.9,48.1,54.0,1,1
82.3,100.0,68.1,6.6,53.5,37.2,1,0
76.1,100.0,61.5,6.8,54.3,48.5,3,0
88.5,83.8,48.6,9.5,27.0,74.8,4,1
57.2,56.7,66.8,4.7,24.0,67.0,0,0
83.5,49.6,92.9,4.0,48.6,78.2,0,0
79.1,94.1,36.1,6.5,60.2,77.7,0,0
51.2,78.4,70.3,6.6,61.9,55.8,2,0
80.3,53.7,98.6,7.2,31.2,75.8,0,0
89.2,91.2,50.2,8.4,63.3,78.3,4,0
70.6,52.9,49.0,4.0,53.5,71.1,2,1
89.9,68.3,91.2,5.3,100.0,75.4,0,0
55.7,77.6,61.0,7.8,64.5,64.9,0,0
47.7,59.1,80.4,6.5,30.1,68.6,2,1
59.1,71.1,66.0,3.1,62.2,74.4,3,1
94.0,40.4,48.1,7.3,65.3,73.7,6,1
85.3,90.7,82.2,7.6,48.7,77.4,1,0
70.7,58.3,66.5,11.8,17.7,76.3,0,0
66.5,89.8,66.2,3.3,40.7,76.2,1,0
78.9,68.9,53.3,11.4,67.7,35.6,2,0
63.1,85.0,50.7,5.7,65.1,79.0,0,0
69.0,58.5,53.2,10.4,63.1,47.1,3,1
100.0,88.6,37.7,4.8,80.3,55.4,2,0
88.9,49.5,63.9,1.0,34.5,62.2,0,0
100.0,39.4,57.1,6.3,83.8,44.5,3,1
75.2,48.4,73.3,6.5,43.0,67.0,1,0
77.0,81.2,93.5,2.9,97.7,36.7,1,0
85.6,73.6,53.8,5.5,45.1,57.2,3,1
81.4,54.1,81.2,6.8,71.3,75.4,1,0
64.9,82.9,76.0,5.9,57.3,85.2,1,0
84.8,64.0,61.1,8.7,71.5,78.2,3,0
75.4,81.6,59.4,6.8,52.4,67.5,2,0
60.3,100.0,46.9,3.0,78.2,77.9,2,0
86.3,67.8,48.8,6.2,41.5,80.6,1,0
60.1,61.6,72.4,4.6,38.6,69.7,2,1
65.9,58.6,69.2,2.4,26.9,55.2,1,1
80.6,97.5,80.4,5.6,54.6,51.0,1,0
69.8,74.5,50.1,7.3,85.7,64.4,2,0
87.4,60.0,69.0,6.0,57.0,54.4,2,0
84.0,97.0,82.3,11.4,39.7,79.1,2,0
100.0,51.8,49.9,4.5,12.5,58.1,1,0
77.7,74.8,98.8,8.4,43.5,52.5,2,0
51.2,100.0,86.2,4.8,20.7,86.3,1,0
97.3,36.1,54.2,6.0,55.9,59.2,2,0
55.8,65.2,67.2,7.3,69.2,49.1,0,0
98.0,74.6,51.5,9.9,57.3,83.7,2,0
100.0,100.0,60.5,8.4,67.9,86.5,0,0
87.3,89.2,33.3,3.0,14.2,62.0,2,1
100.0,69.5,94.3,2.5,20.9,65.2,2,0
74.4,26.7,63.4,2.7,68.4,71.5,0,0
65.8,46.8,63.9,8.4,35.3,73.6,1,0
60.7,65.9,46.4,4.6,31.0,95.5,2,1
62.4,72.3,63.0,5.4,67.3,77.4,1,0
64.6,62.5,23.6,2.2,82.3,90.7,1,0
85.4,74.2,100.0,8.8,52.4,51.7,0,0
78.7,52.9,39.4,4.4,33.4,91.3,3,1
74.9,97.6,66.4,3.8,85.5,74.1,0,0
71.6,50.5,40.1,8.3,93.2,45.0,2,0
63.3,58.3,54.3,3.8,56.0,53.5,2,1
74.1,63.2,48.7,4.6,70.1,73.5,0,0
76.8,83.0,35.0,7.4,41.7,74.6,1,0
42.5,35.4,65.9,6.6,36.9,75.6,0,0
73.8,43.8,53.3,6.1,37.8,60.2,3,1
64.6,84.7,44.7,7.3,83.8,28.9,1,0
85.4,63.9,71.7,4.5,56.7,63.7,3,1
79.6,74.8,57.6,4.8,46.3,71.9,1,0
80.2,100.0,80.7,5.2,79.0,59.9,0,0
56.9,30.6,58.7,6.0,88.5,70.9,1,0
89.9,23.8,69.2,7.9,25.4,83.2,2,0
67.5,80.7,100.0,6.5,60.0,59.1,0,0
89.9,50.9,66.3,4.8,64.6,71.0,3,1
65.8,62.6,47.4,4.9,62.5,77.4,0,0
90.7,95.1,72.4,10.7,39.5,47.3,0,0
100.0,81.1,64.0,6.7,32.5,100.0,2,0
77.0,82.5,73.7,6.6,39.2,73.1,4,1
99.2,99.9,55.8,3.5,52.5,66.8,3,0
44.5,98.6,62.2,4.9,34.8,41.2,2,1
76.3,42.2,41.7,5.2,88.4,62.1,0,0
70.6,62.5,16.5,5.9,50.4,76.4,4,1
95.3,62.6,45.1,12.4,56.2,66.2,1,0
78.6,65.1,54.7,4.6,54.3,57.8,1,0
76.9,62.9,92.1,1.0,76.8,84.7,0,0
68.8,60.6,39.7,4.1,32.8,92.3,3,1
